"COLLEX","CORP.FREQ","OBS","EXP","ASSOC","COLL.STR.LOGL","SIGNIF"
"sporcare",94940,1232,495.2,"attr",777.85759,"*****"
"appuntare",48705,812,254.1,"attr",777.55777,"*****"
"ragionare",284612,2666,1484.6,"attr",763.73977,"*****"
"riassumere",274725,2594,1433.1,"attr",761.68094,"*****"
"coniugare",206977,2100,1079.7,"attr",758.6921,"*****"
"memorizzare",151373,1678,789.6,"attr",758.34571,"*****"
"strappare",242772,2358,1266.4,"attr",753.51053,"*****"
"modificare",1410422,9825,7357.3,"attr",753.07795,"*****"
"riposare",284048,2650,1481.7,"attr",749.62999,"*****"
"instaurare",205580,2074,1072.4,"attr",737.7833,"*****"
"riscrivere",90770,1170,473.5,"attr",729.24228,"*****"
"leccare",272567,2539,1421.8,"attr",714.776,"*****"
"sprecare",180890,1867,943.6,"attr",706.07842,"*****"
"rinfrescare",68872,965,359.3,"attr",700.91676,"*****"
"rivendere",61974,902,323.3,"attr",699.1194,"*****"
"innovare",105871,1278,552.3,"attr",698.14354,"*****"
"leggere",5210229,31616,27178.6,"attr",693.84429,"*****"
"velocizzare",46489,754,242.5,"attr",693.3468,"*****"
"ripensare",187451,1906,977.8,"attr",692.63035,"*****"
"convincere",1169853,8256,6102.4,"attr",688.14869,"*****"
"spostare",1018922,7323,5315.1,"attr",682.18169,"*****"
"apportare",341002,2982,1778.8,"attr",679.35628,"*****"
"volare",476903,3888,2487.7,"attr",675.99413,"*****"
"cavalcare",94535,1169,493.1,"attr",671.17363,"*****"
"analizzare",901995,6583,4705.2,"attr",670.16954,"*****"
"scherzare",156715,1656,817.5,"attr",665.59129,"*****"
"privare",320865,2828,1673.8,"attr",662.39799,"*****"
"perfezionare",163948,1708,855.2,"attr",661.9037,"*****"
"alleare",118193,1348,616.5,"attr",650.65117,"*****"
"ingannare",149040,1586,777.5,"attr",648.86505,"*****"
"scoraggiare",107392,1256,560.2,"attr",641.16842,"*****"
"spaventare",231104,2171,1205.5,"attr",627.48205,"*****"
"approntare",52753,783,275.2,"attr",626.89393,"*****"
"riscoprire",190539,1877,993.9,"attr",624.72492,"*****"
"massimizzare",72186,954,376.6,"attr",623.49132,"*****"
"offrire",5017833,30295,26175,"attr",622.0958,"*****"
"eludere",55014,801,287,"attr",621.22114,"*****"
"approssimare",45429,711,237,"attr",619.33842,"*****"
"sedurre",71836,942,374.7,"attr",606.69558,"*****"
"arrampicare",82174,1029,428.7,"attr",605.94786,"*****"
"ricostruire",500066,3943,2608.5,"attr",592.95946,"*****"
"dimenticare",1407523,9500,7342.2,"attr",583.63005,"*****"
"riprodurre",389300,3197,2030.7,"attr",572.81469,"*****"
"incrementare",323420,2755,1687.1,"attr",570.02587,"*****"
"appellare",78591,977,410,"attr",566.9793,"*****"
"colmare",155037,1570,808.7,"attr",564.24651,"*****"
"studiare",1452918,9724,7579,"attr",560.41962,"*****"
"veicolare",94059,1093,490.6,"attr",550.10565,"*****"
"seppellire",71234,903,371.6,"attr",544.82537,"*****"
"simboleggiare",78301,958,408.4,"attr",538.17038,"*****"
"confessare",180370,1726,940.9,"attr",527.75261,"*****"
"esaltare",298929,2531,1559.3,"attr",511.75815,"*****"
"espellere",53705,721,280.1,"attr",485.12303,"*****"
"arrangiare",58829,764,306.9,"attr",483.08252,"*****"
"sopravvivere",396602,3141,2068.8,"attr",481.79486,"*****"
"presenziare",53803,719,280.7,"attr",479.69973,"*****"
"sbagliare",806851,5701,4208.8,"attr",478.66933,"*****"
"demolire",116454,1219,607.5,"attr",478.24052,"*****"
"adottare",1214429,8143,6334.9,"attr",475.99176,"*****"
"rileggere",181578,1689,947.2,"attr",473.31026,"*****"
"rovesciare",123938,1269,646.5,"attr",469.82747,"*****"
"avvalere",402602,3165,2100.1,"attr",469.48675,"*****"
"misurare",519797,3910,2711.5,"attr",468.35865,"*****"
"ritagliare",113484,1189,592,"attr",467.5722,"*****"
"accelerare",247019,2132,1288.5,"attr",463.1833,"*****"
"rivoluzionare",96746,1055,504.7,"attr",458.43166,"*****"
"incorrere",100603,1078,524.8,"attr",448.71555,"*****"
"scongiurare",119519,1218,623.5,"attr",445.282,"*****"
"rinnegare",58415,739,304.7,"attr",444.09368,"*****"
"lottare",311997,2544,1627.5,"attr",442.57073,"*****"
"governare",405185,3146,2113.6,"attr",440.52965,"*****"
"abrogare",88291,974,460.6,"attr",435.14442,"*****"
"attribuire",817176,5687,4262.7,"attr",433.00037,"*****"
"avviare",1159695,7724,6049.4,"attr",428.59029,"*****"
"allevare",147007,1400,766.8,"attr",421.9158,"*****"
"sfoggiare",74945,860,390.9,"attr",420.86551,"*****"
"stimolare",502888,3735,2623.3,"attr",418.49656,"*****"
"minimizzare",94037,1003,490.5,"attr",412.7128,"*****"
"violentare",58115,718,303.2,"attr",411.48013,"*****"
"sopprimere",139816,1335,729.3,"attr",405.50774,"*****"
"contrapporre",148425,1391,774.2,"attr",399.059,"*****"
"abusare",88090,947,459.5,"attr",397.38227,"*****"
"riportare",2198589,13660,11468.7,"attr",397.00602,"*****"
"riaprire",263144,2167,1372.7,"attr",392.67205,"*****"
"contraddire",80847,887,421.7,"attr",391.11378,"*****"
"cenare",106908,1080,557.7,"attr",385.58079,"*****"
"credere",4675004,27496,24386.6,"attr",383.6847,"*****"
"accedere",1059091,7036,5524.6,"attr",382.60711,"*****"
"prolungare",215294,1835,1123.1,"attr",380.46925,"*****"
"catturare",403833,3051,2106.5,"attr",373.70476,"*****"
"distogliere",64259,739,335.2,"attr",363.43665,"*****"
"chiamare",4285567,25252,22355.2,"attr",362.97569,"*****"
"tenere",5992901,34656,31261.3,"attr",359.10251,"*****"
"semplificare",301801,2371,1574.3,"attr",350.62465,"*****"
"implementare",230027,1896,1199.9,"attr",344.82923,"*****"
"pranzare",62556,712,326.3,"attr",342.06332,"*****"
"rafforzare",536110,3821,2796.6,"attr",338.43645,"*****"
"alzare",789643,5343,4119.1,"attr",334.26326,"*****"
"optare",282724,2228,1474.8,"attr",334.1448,"*****"
"tuffare",76337,812,398.2,"attr",331.84422,"*****"
"coccolare",93827,939,489.4,"attr",326.69105,"*****"
